time,strategy,exchange,symbol,side,sec_type,type,status,price,filled_quantity,multiplier,trade_cost
2022-04-18 09:30:00-04:00,Trend,,AAPL,sell,stock,market,fill,165.07000732421875,200,1,0.0
2022-06-08 09:30:00-04:00,Trend,,AAPL,buy,stock,market,fill,147.9600067138672,200,1,0.0
2022-06-08 09:30:00-04:00,Trend,,AAPL,buy,stock,market,fill,147.9600067138672,200,1,0.0
2022-06-15 09:30:00-04:00,Trend,,AAPL,sell,stock,market,fill,135.42999267578125,200,1,0.0
2022-06-15 09:30:00-04:00,Trend,,AAPL,sell,stock,market,fill,135.42999267578125,200,1,0.0
2022-07-06 09:30:00-04:00,Trend,,AAPL,buy,stock,market,fill,142.9199981689453,200,1,0.0
2022-07-06 09:30:00-04:00,Trend,,AAPL,buy,stock,market,fill,142.9199981689453,200,1,0.0
2022-08-31 09:30:00-04:00,Trend,,AAPL,sell,stock,market,fill,157.22000122070312,200,1,0.0
2022-08-31 09:30:00-04:00,Trend,,AAPL,sell,stock,market,fill,157.22000122070312,200,1,0.0
2022-10-26 09:30:00-04:00,Trend,,AAPL,buy,stock,market,fill,149.35000610351562,200,1,0.0
2022-10-26 09:30:00-04:00,Trend,,AAPL,buy,stock,market,fill,149.35000610351562,200,1,0.0
2022-11-10 09:30:00-05:00,Trend,,AAPL,sell,stock,market,fill,146.8699951171875,200,1,0.0
2022-11-10 09:30:00-05:00,Trend,,AAPL,sell,stock,market,fill,146.8699951171875,200,1,0.0
2022-11-22 09:30:00-05:00,Trend,,AAPL,buy,stock,market,fill,150.17999267578125,200,1,0.0
2022-11-22 09:30:00-05:00,Trend,,AAPL,buy,stock,market,fill,150.17999267578125,200,1,0.0
2022-12-08 09:30:00-05:00,Trend,,AAPL,sell,stock,market,fill,142.64999389648438,200,1,0.0
2022-12-08 09:30:00-05:00,Trend,,AAPL,sell,stock,market,fill,142.64999389648438,200,1,0.0
2023-01-19 09:30:00-05:00,Trend,,AAPL,buy,stock,market,fill,135.27000427246094,200,1,0.0
2023-01-19 09:30:00-05:00,Trend,,AAPL,buy,stock,market,fill,135.27000427246094,200,1,0.0
2023-03-01 09:30:00-05:00,Trend,,AAPL,sell,stock,market,fill,145.30999755859375,200,1,0.0
2023-03-01 09:30:00-05:00,Trend,,AAPL,sell,stock,market,fill,145.30999755859375,200,1,0.0
2023-03-15 09:30:00-04:00,Trend,,AAPL,buy,stock,market,fill,152.99000549316406,200,1,0.0
2023-03-15 09:30:00-04:00,Trend,,AAPL,buy,stock,market,fill,152.99000549316406,200,1,0.0
