datetime,portfolio_value,cash,return
2023-01-03 09:30:00-05:00,100000.0,100000.0,
2023-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-05 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-11 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-12 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-14 09:30:00-05:00,100088.00048828125,86938.00048828125,0.0008800048828125906
2023-01-17 09:30:00-05:00,100088.00048828125,86938.00048828125,0.0
2023-01-18 09:30:00-05:00,100022.00012207031,86938.00048828125,-0.0006594233663271831
2023-01-19 09:30:00-05:00,99977.99987792969,86938.00048828125,-0.00043990566162366296
2023-01-20 09:30:00-05:00,99746.00067138672,86938.00048828125,-0.002320502578829653
2023-01-21 09:30:00-05:00,100162.00103759766,86938.00048828125,0.004170596950362482
2023-01-23 09:30:00-05:00,100162.00103759766,86938.00048828125,0.0
2023-01-24 09:30:00-05:00,100400.0,86938.00048828125,0.0023761402521602637
2023-01-25 09:30:00-05:00,99810.00061035156,86938.00048828125,-0.005876487944705522
2023-01-26 09:30:00-05:00,99710.00061035156,86938.00048828125,-0.0010019036107452584
2023-01-27 09:30:00-05:00,100013.99993896484,86938.00048828125,0.003048834888701446
2023-01-28 09:30:00-05:00,100368.00079345703,86938.00048828125,0.0035395130152600096
2023-01-30 09:30:00-05:00,100368.00079345703,86938.00048828125,0.0
2023-01-31 09:30:00-05:00,100102.0004272461,86938.00048828125,-0.0026502507184369417
2023-02-01 09:30:00-05:00,99777.99987792969,86938.00048828125,-0.003236704041213345
2023-02-02 09:30:00-05:00,99790.00091552734,86938.00048828125,0.00012027739193354314
2023-02-03 09:30:00-05:00,99582.00073242188,86938.00048828125,-0.0020843790078881597
2023-02-04 09:30:00-05:00,99476.00021362305,86938.00048828125,-0.0010644546004217048
2023-02-06 09:30:00-05:00,98896.00143432617,111434.00115966797,-0.005830539809113078
2023-02-07 09:30:00-05:00,99134.00115966797,111434.00115966797,0.00240656570427511
2023-02-08 09:30:00-05:00,99034.00115966797,111434.00115966797,-0.0010087356389352209
2023-02-09 09:30:00-05:00,98534.00115966797,111434.00115966797,-0.005048771069987135
2023-02-10 09:30:00-05:00,98636.00082397461,111434.00115966797,0.0010351722563397558
2023-02-11 09:30:00-05:00,98604.00085449219,111434.00115966797,-0.00032442484706496355
2023-02-13 09:30:00-05:00,98604.00085449219,111434.00115966797,0.0
2023-02-14 09:30:00-05:00,98432.00073242188,111434.00115966797,-0.0017443523648105197
2023-02-15 09:30:00-05:00,98424.0005493164,111434.00115966797,-8.127624193288163e-05
2023-02-16 09:30:00-05:00,98364.00146484375,111434.00115966797,-0.000609598107553011
2023-02-17 09:30:00-05:00,98932.00149536133,111434.00115966797,0.005774470558932876
2023-02-18 09:30:00-05:00,99174.00131225586,111434.00115966797,0.0024461227230490046
2023-02-21 09:30:00-05:00,99174.00131225586,111434.00115966797,0.0
2023-02-22 09:30:00-05:00,99326.0009765625,111434.00115966797,0.0015326563645250424
2023-02-23 09:30:00-05:00,99586.00082397461,111434.00115966797,0.0026176413512657426
2023-02-24 09:30:00-05:00,99524.00131225586,111434.00115966797,-0.0006225725624662282
