time,strategy,exchange,symbol,side,sec_type,type,status,price,filled_quantity,multiplier,trade_cost
2023-01-24 09:30:00-05:00,Trend,,MSFT,buy,stock,market,fill,242.0399932861328,200,1,0.0
2023-02-28 09:30:00-05:00,Trend,,MSFT,sell,stock,market,fill,249.4199981689453,200,1,0.0
2023-02-28 09:30:00-05:00,Trend,,MSFT,sell,stock,market,fill,249.4199981689453,200,1,0.0
2023-03-15 09:30:00-04:00,Trend,,MSFT,buy,stock,market,fill,276.20001220703125,200,1,0.0
2023-03-15 09:30:00-04:00,Trend,,MSFT,buy,stock,market,fill,276.20001220703125,200,1,0.0
