time,strategy,exchange,symbol,side,sec_type,type,status,price,filled_quantity,multiplier,trade_cost
2022-04-19 09:30:00-04:00,Trend,,TSLA,sell,stock,market,fill,342.7166748046875,200,1,0.0
2022-06-08 09:30:00-04:00,Trend,,TSLA,buy,stock,market,fill,241.86666870117188,200,1,0.0
2022-06-08 09:30:00-04:00,Trend,,TSLA,buy,stock,market,fill,241.86666870117188,200,1,0.0
2022-06-15 09:30:00-04:00,Trend,,TSLA,sell,stock,market,fill,233.0,200,1,0.0
2022-06-15 09:30:00-04:00,Trend,,TSLA,sell,stock,market,fill,233.0,200,1,0.0
2022-07-02 09:30:00-04:00,Trend,,TSLA,buy,stock,market,fill,227.26333618164062,200,1,0.0
2022-07-02 09:30:00-04:00,Trend,,TSLA,buy,stock,market,fill,227.26333618164062,200,1,0.0
2022-07-05 09:30:00-04:00,Trend,,TSLA,sell,stock,market,fill,233.06666564941406,200,1,0.0
2022-07-05 09:30:00-04:00,Trend,,TSLA,buy,stock,market,fill,233.06666564941406,200,1,0.0
2022-08-30 09:30:00-04:00,Trend,,TSLA,sell,stock,market,fill,277.70001220703125,200,1,0.0
2022-08-30 09:30:00-04:00,Trend,,TSLA,sell,stock,market,fill,277.70001220703125,200,1,0.0
2022-09-16 09:30:00-04:00,Trend,,TSLA,buy,stock,market,fill,303.3500061035156,200,1,0.0
2022-09-16 09:30:00-04:00,Trend,,TSLA,buy,stock,market,fill,303.3500061035156,200,1,0.0
2022-09-30 09:30:00-04:00,Trend,,TSLA,sell,stock,market,fill,265.25,200,1,0.0
2022-09-30 09:30:00-04:00,Trend,,TSLA,sell,stock,market,fill,265.25,200,1,0.0
2022-11-03 09:30:00-04:00,Trend,,TSLA,buy,stock,market,fill,215.30999755859375,200,1,0.0
2022-11-03 09:30:00-04:00,Trend,,TSLA,buy,stock,market,fill,215.30999755859375,200,1,0.0
2022-11-09 09:30:00-05:00,Trend,,TSLA,sell,stock,market,fill,177.58999633789062,200,1,0.0
2022-11-09 09:30:00-05:00,Trend,,TSLA,sell,stock,market,fill,177.58999633789062,200,1,0.0
2022-12-07 09:30:00-05:00,Trend,,TSLA,buy,stock,market,fill,174.0399932861328,200,1,0.0
2022-12-07 09:30:00-05:00,Trend,,TSLA,buy,stock,market,fill,174.0399932861328,200,1,0.0
2022-12-10 09:30:00-05:00,Trend,,TSLA,sell,stock,market,fill,179.0500030517578,200,1,0.0
2022-12-10 09:30:00-05:00,Trend,,TSLA,sell,stock,market,fill,179.0500030517578,200,1,0.0
2022-12-12 09:30:00-05:00,Trend,,TSLA,buy,stock,market,fill,167.82000732421875,200,1,0.0
2022-12-12 09:30:00-05:00,Trend,,TSLA,sell,stock,market,fill,167.82000732421875,200,1,0.0
2023-01-20 09:30:00-05:00,Trend,,TSLA,buy,stock,market,fill,133.4199981689453,200,1,0.0
2023-01-20 09:30:00-05:00,Trend,,TSLA,buy,stock,market,fill,133.4199981689453,200,1,0.0
2023-03-04 09:30:00-05:00,Trend,,TSLA,sell,stock,market,fill,197.7899932861328,200,1,0.0
2023-03-04 09:30:00-05:00,Trend,,TSLA,sell,stock,market,fill,197.7899932861328,200,1,0.0
2023-03-06 09:30:00-05:00,Trend,,TSLA,buy,stock,market,fill,193.80999755859375,200,1,0.0
2023-03-06 09:30:00-05:00,Trend,,TSLA,sell,stock,market,fill,193.80999755859375,200,1,0.0
2023-03-29 09:30:00-04:00,Trend,,TSLA,buy,stock,market,fill,193.8800048828125,200,1,0.0
2023-03-29 09:30:00-04:00,Trend,,TSLA,buy,stock,market,fill,193.8800048828125,200,1,0.0
2023-04-15 09:30:00-04:00,Trend,,TSLA,sell,stock,market,fill,185.0,200,1,0.0
2023-04-15 09:30:00-04:00,Trend,,TSLA,sell,stock,market,fill,185.0,200,1,0.0
